wn,wp,vdd,temp,cl_ff,tech_node,corner,delay_ps,power_mw,freq_ghz,source
3.24,0.271,1.27,-3.17,147.558,0.5,SS,0.0125,991.7932,40133.8076,physics
3.002,0.304,0.762,-1.61,120.802,0.5,TT,0.009,407.248,55607.4192,physics
3.614,3.551,1.675,34.12,56.36,28.0,TT,0.106,89.8718,4717.2251,physics
3.527,1.8,0.935,117.94,67.982,14.0,SF,0.1506,22.2229,3320.021,physics
0.592,4.26,2.19,93.18,146.217,0.5,SS,0.0015,25165.1827,340636.0567,physics
4.869,1.986,2.046,96.85,124.085,2.0,FS,0.0044,6450.5357,114032.4469,physics
1.058,0.487,2.352,87.56,197.059,5.0,SS,0.1449,380.8012,3449.6486,physics
1.975,2.349,2.836,-13.16,71.699,3.0,MC,0.0014,22139.5948,349917.49,physics
4.691,3.293,2.206,-11.76,146.096,7.0,SF,0.0123,3133.8042,40510.5845,physics
1.972,4.949,2.292,51.9,137.238,28.0,TT,0.1124,346.8703,4449.7047,physics
4.13,4.054,1.623,-29.08,182.714,0.3,MC,0.0003,92051.78,1783842.2415,physics
1.656,3.329,1.608,110.9,92.312,3.0,TT,0.0049,2651.026,102175.3886,physics
1.324,2.873,1.236,56.46,179.667,1.0,FF,0.0014,10223.5157,358960.8998,physics
1.19,4.988,1.927,-25.0,10.376,14.0,TT,0.0054,695.6532,92142.9263,physics
3.182,3.992,1.682,-29.52,76.942,0.7,FS,0.0003,43984.4977,1756680.1014,physics
1.347,2.833,3.139,72.25,23.796,0.5,FF,0.0,378413.7504,12578600.0675,physics
3.871,1.8,1.322,-13.9,1.646,3.0,FS,0.0008,1126.0821,597462.7436,physics
3.838,2.612,0.798,63.17,168.492,0.5,FS,0.0024,2399.0568,210600.3499,physics
1.091,1.963,0.952,117.33,184.564,28.0,FS,1.7658,4.8626,283.1528,physics
1.702,0.244,3.101,104.99,166.501,3.0,TT,0.0425,1917.4488,11754.3891,physics
0.403,4.408,3.151,-25.87,97.712,14.0,FS,0.0495,1057.3657,10097.6837,physics
3.857,0.773,1.831,50.72,53.746,0.3,SF,0.0004,24481.1471,1193038.9085,physics
4.826,4.655,2.615,73.83,142.877,1.0,MC,0.0004,138422.3233,1279911.5601,physics
3.291,2.275,1.949,-20.03,45.715,2.0,SS,0.0013,7907.5252,380675.5426,physics
2.991,1.266,1.117,-28.29,126.589,5.0,SS,0.0581,143.2647,8604.3489,physics
4.538,4.319,0.698,-0.73,134.127,5.0,FS,0.0253,142.9432,19770.6212,physics
0.766,4.687,2.099,37.99,157.139,1.0,TT,0.0011,32928.1803,450430.8259,physics
0.58,3.346,1.492,27.83,172.904,28.0,MC,0.7502,26.592,666.501,physics
3.309,3.284,0.67,80.16,160.318,14.0,TT,0.2641,14.5277,1893.2029,physics
1.055,2.751,0.893,-9.72,93.063,14.0,SF,0.0739,53.5248,6766.402,physics
4.063,4.301,0.774,67.6,108.577,28.0,SS,0.7321,4.9937,682.9499,physics
4.641,4.266,0.966,40.13,43.536,1.0,SS,0.0009,3034.1601,561679.1112,physics
0.923,0.16,1.593,112.88,157.241,3.0,SF,0.1385,145.6944,3611.2041,physics
3.519,3.693,2.693,69.21,97.848,5.0,FF,0.0033,11864.2609,149442.587,physics
1.182,0.434,2.56,-29.94,63.407,28.0,FS,0.3773,57.3268,1325.1371,physics
2.447,4.609,1.987,-30.61,102.058,7.0,SS,0.0129,1732.6146,38688.7826,physics
3.024,3.425,1.159,-20.22,178.167,5.0,FS,0.0218,580.0731,22901.7342,physics
3.021,3.154,1.674,56.31,105.034,3.0,TT,0.0044,3660.2765,113596.1015,physics
3.388,1.674,1.244,-18.41,129.455,0.7,FF,0.0009,11777.9936,553062.349,physics
4.654,4.688,0.526,62.49,113.036,14.0,SS,0.2795,6.3402,1789.0268,physics
2.744,2.604,0.871,17.59,14.689,5.0,FF,0.0032,278.3463,157421.6243,physics
1.511,2.275,2.021,9.92,196.787,0.5,SS,0.0011,38298.305,462158.4006,physics
3.379,2.84,3.109,-22.91,175.747,3.0,SS,0.0035,25568.4026,142393.4939,physics
4.462,3.751,0.935,6.49,42.915,2.0,TT,0.0014,1765.2402,359611.421,physics
3.475,4.287,1.915,1.44,181.724,28.0,SS,0.2877,123.8049,1738.1196,physics
3.215,4.172,0.623,15.04,27.033,3.0,TT,0.0027,283.2402,187421.9875,physics
3.737,2.826,1.698,-38.4,15.974,7.0,FS,0.0043,881.5944,115168.0947,physics
0.296,1.941,2.047,30.91,9.324,2.0,SS,0.001,2606.2673,481089.9107,physics
4.507,1.169,1.199,-23.04,156.243,1.0,FS,0.0038,3134.8039,131845.1537,physics
3.777,4.64,1.163,-13.19,160.178,7.0,SF,0.0221,530.8324,22588.8786,physics
0.241,3.722,1.43,113.58,160.645,5.0,FF,0.0821,208.0744,6091.8509,physics
0.897,3.551,1.571,-33.61,94.667,5.0,SF,0.0073,1722.2307,68524.1196,physics
1.826,4.13,2.94,-3.22,132.347,1.0,FF,0.0002,355830.0935,2900206.6179,physics
1.48,0.487,2.665,17.94,102.372,0.5,FF,0.0008,49109.1627,655155.068,physics
4.703,0.709,3.217,-10.54,192.544,3.0,SS,0.0157,6650.9648,31931.1211,physics
0.649,2.258,2.54,11.76,121.636,0.5,SS,0.0006,67177.2717,824292.5288,physics
2.0,2.946,1.213,76.95,1.337,0.5,MC,0.0001,11648.259,8505972.4132,physics
3.631,3.748,2.378,20.1,14.925,2.0,FS,0.0003,29077.1735,1917515.6132,physics
1.652,4.263,2.515,9.55,62.548,1.0,FF,0.0001,204522.8195,4485939.8371,physics
2.084,1.584,0.856,29.37,188.132,7.0,FS,0.1795,39.6019,2785.2946,physics
2.897,2.119,2.834,10.14,42.826,0.3,FS,0.0001,260041.5872,6359884.1994,physics
3.315,2.405,1.738,-4.74,95.164,7.0,MC,0.0172,915.2562,29028.2038,physics
0.534,2.65,2.272,15.31,163.866,5.0,MC,0.0172,2528.6727,28986.6158,physics
1.635,4.062,0.913,-32.37,196.803,0.3,SS,0.0008,10804.9144,629285.5432,physics
2.342,4.448,2.112,78.53,77.412,1.0,TT,0.0003,58057.7515,1473154.0147,physics
0.84,3.485,2.999,101.97,177.208,1.0,TT,0.0009,91198.2527,550550.5321,physics
0.978,4.796,1.95,-31.71,50.59,14.0,SF,0.0155,735.1426,32278.7182,physics
0.771,2.404,1.987,52.22,64.142,0.7,FS,0.0005,28070.0095,1026538.1607,physics
4.097,4.476,1.695,109.63,89.737,7.0,MC,0.0154,969.0702,32573.039,physics
4.324,2.333,2.605,98.58,56.185,0.5,SF,0.0002,122001.3522,2686849.7742,physics
3.179,1.482,0.717,7.15,55.071,2.0,FS,0.0062,257.8745,80153.3374,physics
0.513,0.882,1.572,-14.79,43.577,1.0,SF,0.0007,7610.3823,672046.7238,physics
1.735,2.41,0.674,97.43,78.506,0.3,MC,0.0007,2606.0451,673437.2407,physics
0.215,4.421,2.112,38.7,188.606,3.0,SF,0.0214,2040.7262,23333.0326,physics
4.285,4.774,1.673,83.34,109.68,0.3,TT,0.0002,79816.7554,2294606.3417,physics
2.503,1.474,1.86,24.16,134.106,1.0,MC,0.0014,17072.5267,351196.6052,physics
0.925,2.417,0.857,62.67,6.366,1.0,FS,0.0003,1521.2276,1762557.1724,physics
2.874,0.281,2.3,-17.61,92.878,28.0,FF,0.6191,41.8538,807.6456,physics
1.97,1.177,1.415,85.6,76.446,1.0,FF,0.0015,5534.3639,339082.8102,physics
4.194,2.431,2.597,-31.41,190.432,5.0,MC,0.0082,8257.3768,60879.2764,physics
0.455,4.793,0.613,-34.88,50.209,28.0,FS,0.6236,1.7676,801.8229,physics
0.864,0.762,2.374,53.05,44.375,3.0,FF,0.003,4466.4011,168633.1533,physics
0.939,3.095,2.594,-21.1,164.041,3.0,SS,0.0045,12724.9893,110888.7278,physics
2.944,4.655,2.112,109.82,75.686,5.0,SS,0.0086,2284.7176,58250.7471,physics
3.009,4.178,1.18,75.04,61.015,0.3,SS,0.0004,13797.1604,1364931.9935,physics
4.006,2.895,0.615,47.9,132.643,14.0,FS,0.289,9.4088,1730.3539,physics
3.28,0.211,1.676,40.88,87.271,2.0,MC,0.0269,485.6263,18610.3634,physics
4.471,2.38,0.928,-10.94,104.828,3.0,FS,0.0099,506.3238,50742.1986,physics
4.064,2.76,1.854,31.87,146.474,3.0,FF,0.0035,7688.7648,142049.0148,physics
4.276,4.179,0.743,105.47,49.529,0.7,FS,0.0009,1886.5096,541106.9677,physics
3.098,1.988,0.58,100.41,37.186,5.0,FF,0.0177,43.0831,28220.8511,physics
4.013,1.801,2.965,75.7,55.977,28.0,FS,0.1266,226.8445,3948.7619,physics
4.747,0.565,2.516,40.62,151.875,0.7,MC,0.0027,18596.0638,183105.2898,physics
3.594,2.324,0.548,8.55,81.476,5.0,FF,0.0211,64.8701,23734.657,physics
3.36,1.94,2.05,16.72,199.33,0.5,FF,0.0005,81406.5818,931877.431,physics
1.837,2.351,1.359,-1.96,144.536,2.0,SS,0.0067,2081.0775,74482.5354,physics
3.745,4.762,2.432,-8.4,147.982,3.0,MC,0.0015,30927.1585,323391.4954,physics
2.997,3.837,2.171,121.78,166.693,3.0,TT,0.0049,8502.967,101519.6187,physics
1.881,1.616,2.482,-19.11,10.058,28.0,FS,0.0269,179.9864,18617.6839,physics
1.546,4.729,2.286,84.21,21.415,28.0,FS,0.0378,217.9619,13229.6823,physics
1.508,2.472,1.454,119.31,51.243,0.7,SS,0.0011,5634.0992,462218.7185,physics
4.132,2.093,0.707,63.86,11.668,7.0,FS,0.0216,25.0746,23118.1265,physics
4.752,0.563,1.195,52.08,83.819,0.3,FS,0.0022,3008.6769,228057.4141,physics
1.221,2.684,1.761,33.05,172.173,1.0,FF,0.0008,33805.9365,610829.0439,physics
2.895,0.442,3.188,-23.63,152.785,5.0,FF,0.0202,3969.7342,24695.7223,physics
3.343,0.912,0.987,-27.61,1.532,0.7,MC,0.0002,2233.185,2732747.8416,physics
3.018,1.563,1.148,76.65,140.895,0.7,SS,0.0047,2083.6791,106628.5284,physics
3.474,4.631,2.706,63.13,132.575,5.0,SF,0.0043,12542.3424,117613.0324,physics
0.68,1.24,0.917,3.83,29.305,28.0,TT,0.2439,5.5844,2049.7856,physics
3.988,3.036,2.808,112.0,88.392,0.7,MC,0.0004,104633.7241,1330870.6283,physics
1.604,2.102,1.262,49.1,88.114,0.3,SS,0.0008,9537.2042,636469.4887,physics
4.46,3.712,2.19,-35.73,46.556,0.3,FS,0.0001,246664.7013,8611238.1617,physics
4.76,4.998,2.382,4.47,9.006,7.0,SF,0.0012,5640.2267,401960.5291,physics
2.653,2.295,1.279,124.5,87.741,0.7,SS,0.0022,3490.75,222946.4827,physics
2.414,2.13,1.399,-22.74,33.004,1.0,MC,0.0004,10639.5841,1348033.0305,physics
2.538,3.364,1.621,85.48,8.303,14.0,FF,0.0072,325.586,69557.9638,physics
1.352,0.712,2.663,102.71,165.161,28.0,MC,0.8293,72.0419,602.9434,physics
4.363,2.391,0.652,45.54,124.904,0.7,MC,0.0024,1226.7366,212518.17,physics
2.277,0.4,1.248,-18.38,58.318,0.7,SS,0.0044,1102.1919,112988.231,physics
0.261,3.206,2.738,77.11,62.839,28.0,FS,0.3659,70.0883,1366.3392,physics
2.111,1.24,2.856,-21.28,189.465,7.0,SF,0.0268,2969.7715,18684.1361,physics
4.671,1.566,2.475,28.56,97.017,0.7,TT,0.0006,58347.8355,889645.0709,physics
2.349,0.852,1.034,58.9,149.512,7.0,SS,0.3562,23.2122,1403.684,physics
1.468,3.982,1.662,114.15,102.04,28.0,FF,0.1479,103.459,3379.7065,physics
3.663,4.212,2.124,68.89,173.187,0.7,FS,0.0007,64228.4231,765936.1914,physics
2.484,1.762,2.636,22.24,186.638,5.0,MC,0.0147,4584.0015,34097.1109,physics
1.285,2.007,2.897,27.78,64.317,0.7,MC,0.0003,108796.2343,1861964.9227,physics
4.578,1.999,3.268,90.74,130.752,7.0,SF,0.0176,4291.8108,28430.176,physics
4.828,0.762,3.203,14.78,20.973,0.7,SS,0.0003,44024.0505,1431303.4154,physics
2.687,2.366,2.523,27.65,131.301,7.0,SS,0.0299,1482.469,16701.3931,physics
2.411,4.851,1.448,74.3,130.317,2.0,MC,0.0026,5662.5043,190162.2853,physics
4.314,1.993,1.387,78.59,152.121,0.5,SS,0.0024,6389.1358,204650.4748,physics
3.133,1.289,2.416,7.42,46.27,14.0,SF,0.0271,575.5701,18467.0603,physics
4.894,3.838,2.471,-23.42,34.107,3.0,SS,0.0009,15951.2224,542250.3102,physics
0.344,4.011,1.321,21.85,29.968,0.5,SF,0.0005,7100.174,1100091.242,physics
2.882,3.994,0.976,-26.97,174.297,0.3,MC,0.0004,22055.6854,1249006.3726,physics
1.295,4.577,0.901,36.09,51.541,3.0,MC,0.003,817.8782,165152.7038,physics
0.166,4.052,3.023,71.81,32.437,0.7,FF,0.0004,40009.8334,1115906.5428,physics
4.94,1.601,3.194,73.9,91.91,3.0,TT,0.0033,15770.7704,150893.1887,physics
4.997,4.289,0.799,22.93,72.433,3.0,MC,0.0045,620.636,111236.7466,physics
1.561,4.893,2.343,5.29,113.62,28.0,FS,0.0977,348.3107,5115.9927,physics
3.756,4.189,3.028,88.0,46.794,2.0,TT,0.0004,63900.3931,1169415.592,physics
3.227,3.161,2.398,78.95,132.177,7.0,MC,0.0226,1814.2217,22144.5134,physics
0.594,3.193,0.61,90.12,7.64,2.0,MC,0.0016,162.0231,316848.9762,physics
0.761,4.562,1.415,28.56,40.958,0.5,FF,0.0002,23533.6917,2372790.9574,physics
2.711,4.58,2.825,2.4,165.113,0.7,FF,0.0002,442171.1532,3132702.5659,physics
3.763,1.793,0.822,118.88,29.011,5.0,MC,0.0179,71.81,27994.2053,physics
3.654,4.903,3.208,92.76,73.789,1.0,SS,0.0003,150842.2706,1673629.6891,physics
1.411,0.749,1.532,83.59,53.17,1.0,MC,0.0025,2630.3771,197831.4433,physics
4.709,0.675,1.155,-35.87,176.963,0.5,FF,0.0021,5813.2719,234740.2774,physics
4.586,1.224,0.677,95.94,181.968,3.0,MC,0.0573,76.4902,8722.5696,physics
2.112,0.828,3.15,10.22,99.032,14.0,TT,0.0685,751.0604,7294.3001,physics
4.45,0.808,1.77,70.63,148.885,0.5,SF,0.002,12598.4432,255553.4977,physics
2.986,3.674,2.979,68.06,166.905,0.3,SF,0.0001,561661.6475,3562870.7107,physics
4.703,1.507,2.433,-4.15,89.494,5.0,FF,0.0059,4958.4464,84184.8805,physics
0.605,3.476,2.025,121.34,72.376,1.0,FF,0.0007,23697.1176,731949.3435,physics
1.046,0.742,2.874,35.03,132.891,0.3,SS,0.0009,61065.4588,544516.6137,physics
0.367,1.768,3.269,89.85,41.836,0.5,TT,0.0002,100718.3245,2081645.5134,physics
2.982,4.093,1.152,87.77,157.94,0.3,SS,0.0009,11917.4258,530292.8278,physics
1.473,4.923,3.265,49.14,159.904,14.0,MC,0.0242,3750.3232,20668.8106,physics
4.348,0.789,1.503,90.09,118.182,28.0,TT,1.3691,10.4331,365.2109,physics
1.415,0.765,1.679,-21.25,13.648,0.7,FF,0.0002,14379.1337,2972288.3564,physics
2.625,0.679,1.911,115.99,9.63,0.5,FF,0.0002,14382.3771,2633584.9267,physics
2.355,4.826,0.67,39.03,80.922,14.0,SF,0.0675,30.7406,7403.7321,physics
3.597,2.301,3.018,13.15,30.518,7.0,FF,0.0027,6739.5698,184881.1878,physics
3.167,2.989,2.494,22.85,119.881,3.0,SF,0.0021,19275.7793,238748.7868,physics
2.587,2.236,2.721,-21.12,131.288,0.5,MC,0.0002,212767.3575,2066550.1537,physics
4.344,2.236,2.987,28.28,165.656,1.0,SF,0.0006,139149.0117,884826.0408,physics
3.681,1.666,1.375,2.06,190.765,0.7,SS,0.0034,5468.4303,145068.4098,physics
0.565,0.564,1.709,82.86,75.157,7.0,FS,0.1165,96.4583,4290.4044,physics
0.413,4.79,2.073,70.55,82.751,1.0,MC,0.0014,13734.3968,350690.9433,physics
0.371,1.545,1.375,-22.91,101.975,7.0,MC,0.0578,171.9304,8655.6479,physics
2.473,4.259,1.48,51.78,23.862,3.0,FS,0.0014,2664.3385,350436.7886,physics
1.224,2.231,2.071,86.63,124.723,0.5,SS,0.001,28585.18,511526.3821,physics
3.092,3.34,2.442,-35.22,55.381,3.0,FF,0.0006,34546.8785,881150.53,physics
1.833,1.03,0.901,68.46,14.847,28.0,SS,0.4203,1.8793,1189.5961,physics
3.761,1.193,1.676,16.25,74.641,2.0,FS,0.0042,2737.9049,117967.9517,physics
3.03,4.434,0.936,84.48,10.903,14.0,FF,0.0127,79.1892,39418.2218,physics
2.282,2.206,2.2,28.34,43.898,0.5,SS,0.0003,45577.7649,1841751.8485,physics
1.804,0.688,2.399,57.87,105.86,3.0,SS,0.0187,1692.4221,26763.729,physics
1.196,4.925,0.653,-6.27,189.119,7.0,FF,0.0516,82.2054,9688.5533,physics
1.533,0.732,1.893,31.06,26.708,0.5,MC,0.0004,14350.4655,1319147.1929,physics
1.243,2.86,2.371,18.44,80.017,28.0,SF,0.0781,311.7844,6402.2049,physics
0.211,4.618,2.914,55.0,115.107,1.0,FF,0.0014,36884.663,353472.1313,physics
0.682,0.251,1.409,92.22,124.007,2.0,SS,0.0787,158.3416,6354.6733,physics
2.251,0.663,1.72,26.07,16.651,3.0,MC,0.0031,1003.7752,158945.7097,physics
1.777,1.765,0.971,44.23,23.691,0.5,TT,0.0004,3871.7226,1396812.0541,physics
4.541,1.844,2.537,95.13,163.192,5.0,SS,0.0308,1813.4457,16240.9635,physics
0.835,1.107,2.187,85.44,131.446,7.0,MC,0.0533,604.2212,9387.1286,physics
2.531,3.809,2.628,34.07,184.907,0.3,MC,0.0002,397803.1737,2951943.5477,physics
3.22,3.179,2.92,63.49,31.041,14.0,SF,0.0087,2031.6406,57620.7779,physics
2.278,1.619,1.269,-30.73,101.96,3.0,SF,0.0061,1439.9578,82611.3634,physics
2.325,0.426,2.829,-27.34,172.986,14.0,FS,0.2523,281.3654,1981.5476,physics
3.019,2.015,2.125,117.45,148.045,28.0,SF,0.3615,97.5438,1383.3135,physics
4.556,2.923,1.027,59.83,100.772,28.0,SF,0.3546,16.778,1409.9309,physics
0.625,4.511,1.462,77.86,101.405,7.0,SS,0.0945,124.0001,5289.257,physics
1.329,2.273,1.73,46.25,32.59,2.0,FF,0.0006,9088.023,790878.4441,physics
2.011,3.906,2.401,-31.36,126.546,2.0,SS,0.0013,30253.8493,385655.3874,physics
1.729,2.856,1.582,1.58,170.462,0.3,TT,0.0004,57540.0772,1292714.565,physics
1.747,2.976,0.896,17.72,193.572,1.0,TT,0.0025,3227.2077,199811.3271,physics
3.024,4.699,1.367,22.15,158.541,7.0,MC,0.0242,660.3965,20668.4096,physics
3.55,4.743,3.292,110.55,19.597,1.0,FS,0.0001,203406.129,5694421.8445,physics
1.886,1.909,1.005,-4.66,189.586,0.7,TT,0.0023,4340.3119,219581.0967,physics
1.226,0.817,0.716,99.33,21.127,0.5,MC,0.0011,544.7305,435136.1033,physics
4.432,0.333,1.443,86.44,27.079,1.0,TT,0.0033,1097.3627,151624.5592,physics
0.912,4.182,2.659,93.49,33.942,0.7,SS,0.0003,54975.9495,1844727.2212,physics
2.125,3.43,1.165,33.29,57.701,0.7,TT,0.0005,9962.371,1101271.8329,physics
2.726,1.651,2.764,37.39,167.188,2.0,MC,0.0029,23246.2356,174632.7337,physics
4.742,4.925,1.793,6.49,76.993,0.5,SF,0.0001,109570.9615,3681810.7833,physics
4.835,4.112,2.744,-17.16,50.751,0.7,FF,0.0001,402799.0769,8208860.6893,physics
2.826,0.648,2.868,100.44,57.728,7.0,FF,0.0242,1077.2952,20682.0556,physics
2.313,2.64,2.827,-24.87,182.19,0.7,FF,0.0003,298695.501,1965313.575,physics
4.661,2.162,1.61,21.7,77.847,14.0,FF,0.042,273.9469,11895.9034,physics
1.216,1.696,0.777,77.93,67.723,7.0,TT,0.0709,30.8272,7051.1583,physics
0.307,4.599,1.823,97.13,152.009,0.7,SF,0.0027,9680.1424,182146.1997,physics
3.123,4.543,0.553,-4.42,30.754,0.3,FS,0.0002,3203.2677,2429926.2232,physics
2.185,3.914,1.165,-19.9,48.449,0.3,SF,0.0001,40993.3231,5182786.8344,physics
0.426,4.208,1.9,48.45,126.759,0.3,TT,0.0007,36699.4557,757381.3683,physics
3.626,1.563,0.504,18.21,114.562,7.0,MC,0.1415,11.0329,3533.4028,physics
3.381,2.689,1.51,117.31,109.272,0.5,FS,0.001,13445.5522,495316.8059,physics
0.219,4.386,0.622,23.84,75.287,28.0,FF,1.3669,1.1705,365.8024,physics
3.968,1.822,2.552,63.66,154.529,2.0,TT,0.0031,17440.3066,163426.331,physics
0.336,2.798,2.778,-11.11,156.049,0.7,MC,0.0011,54943.5469,441935.3934,physics
2.455,1.034,0.878,78.15,188.777,28.0,FF,1.7364,4.3152,287.9489,physics
1.104,3.987,2.98,12.07,62.705,1.0,FS,0.0002,148772.7009,2362602.7568,physics
2.43,0.328,2.311,7.21,172.566,28.0,MC,1.5027,31.4563,332.7428,physics
1.74,0.754,1.53,106.77,148.918,1.0,FF,0.0043,4163.6947,116301.0751,physics
4.872,2.557,1.893,112.51,104.336,14.0,MC,0.0725,287.2648,6892.4594,physics
2.192,2.238,3.286,-10.22,59.46,14.0,SS,0.0225,1598.7375,22231.9103,physics
1.72,1.584,1.749,78.41,34.162,0.7,FF,0.0003,20860.4439,1727026.6818,physics
2.302,3.675,3.053,61.45,87.553,28.0,SS,0.1147,394.7595,4357.9474,physics
3.395,2.12,1.937,83.73,32.837,28.0,TT,0.1087,72.0357,4601.5322,physics
4.262,3.439,1.727,-19.17,47.963,2.0,FF,0.0005,19272.9137,1070342.5057,physics
1.988,2.901,2.194,72.05,189.816,2.0,SF,0.0025,18859.3183,198179.4681,physics
3.844,2.934,1.982,25.68,130.263,5.0,SS,0.0166,1667.5917,30067.2064,physics
0.246,1.052,1.95,110.73,24.434,3.0,MC,0.0046,1093.5073,108414.3304,physics
2.298,4.982,1.3,111.22,98.749,14.0,TT,0.0658,141.8769,7598.7239,physics
4.282,2.342,3.016,33.44,18.47,2.0,MC,0.0003,44970.0402,1696328.5316,physics
1.815,0.465,2.018,107.07,170.421,7.0,FF,0.1531,231.531,3265.7306,physics
2.603,0.739,1.063,-17.09,158.284,28.0,FF,1.0514,8.7952,475.565,physics
